Journal Title,JIF,JIF5Years
SUSTAINABLE WATER RESOURCES MANAGEMENT,2.1,2.1
SUVREMENA LINGVISTIKA,0.2,0.3
SVMMA-REVISTA DE CULTURES MEDIEVALS,0.1,0.1
SWARM AND EVOLUTIONARY COMPUTATION,8.2,8.4
SWARM INTELLIGENCE,2.1,2.8
SWIAT I SLOWO,<0.1,<0.1
SWISS JOURNAL OF GEOSCIENCES,1.8,1.8
SWISS JOURNAL OF PALAEONTOLOGY,3,1.9
SWISS MEDICAL WEEKLY,2.1,2.2
SWISS POLITICAL SCIENCE REVIEW,2,2.3
SYDNEY LAW REVIEW,0.7,0.8
SYDOWIA,1.4,1.4
SYLWAN,0.5,0.5
SYMBIOSIS,2.1,2.4
SYMBOLAE OSLOENSES,<0.1,0.1
SYMBOLIC INTERACTION,1.5,1.8
SYMMETRY INTEGRABILITY AND GEOMETRY-METHODS AND APPLICATIONS,0.9,0.9
SYMMETRY-BASEL,2.2,2.3
SYMMETRY-CULTURE AND SCIENCE,0.2,0.3
SYMPLOKE,0.5,0.3
SYMPOSIUM-A QUARTERLY JOURNAL IN MODERN LITERATURES,0.3,0.3
SYMPOSIUM-CANADIAN JOURNAL OF CONTINENTAL PHILOSOPHY,0.1,0.1
SYNAPSE,1.6,1.9
SYNERGIES MEXIQUE,<0.1,<0.1
SYNESIS,0.3,0.2
SYNLETT,1.7,1.6
SYNOPEN,2,1.4
SYNTAX-A JOURNAL OF THEORETICAL EXPERIMENTAL AND INTERDISCIPLINARY RESEARCH,0.7,1.2
SYNTHESE,1.3,1.5
SYNTHESIS PHILOSOPHICA,<0.1,0.1
SYNTHESIS-LA PLATA,0.1,<0.1
SYNTHESIS-STUTTGART,2.2,2.3
SYNTHETIC AND SYSTEMS BIOTECHNOLOGY,4.4,4.3
SYNTHETIC BIOLOGY,2.6,3
SYNTHETIC COMMUNICATIONS,1.8,2.1
SYNTHETIC METALS,4,3.4
SYSTEM,4.9,5.5
SYSTEM DYNAMICS REVIEW,1.7,3.2
SYSTEMATIC AND APPLIED ACAROLOGY,1.3,1.2
SYSTEMATIC AND APPLIED MICROBIOLOGY,3.3,3.2
SYSTEMATIC BIOLOGY,6.1,10.4
SYSTEMATIC BOTANY,0.9,1.1
SYSTEMATIC ENTOMOLOGY,4.7,4.3
SYSTEMATIC PARASITOLOGY,1,1
SYSTEMATIC REVIEWS,6.3,4.5
SYSTEMATICS AND BIODIVERSITY,1.8,1.9
SYSTEMIC PRACTICE AND ACTION RESEARCH,1,1.2
SYSTEMS,2.3,2.5
SYSTEMS and CONTROL LETTERS,2.1,2.5
SYSTEMS BIOLOGY IN REPRODUCTIVE MEDICINE,2.1,2.8
SYSTEMS ENGINEERING,1.6,2
SYSTEMS RESEARCH AND BEHAVIORAL SCIENCE,1.8,2.3
SYSTEMS SCIENCE and CONTROL ENGINEERING,3.2,3.6
SZTUKA I DOKUMENTACJA-ART and DOCUMENTATION,0.1,0.1
TAIDA JOURNAL OF ART HISTORY,0.2,0.1
TAIWAN JOURNAL OF EAST ASIAN STUDIES,<0.1,0.1
TAIWAN JOURNAL OF LINGUISTICS,0.3,0.3
TAIWAN JOURNAL OF OPHTHALMOLOGY,1,1.2
TAIWAN JOURNAL OF TESOL,0.6,0.6
TAIWANESE JOURNAL OF MATHEMATICS,0.6,0.7
TAIWANESE JOURNAL OF OBSTETRICS and GYNECOLOGY,2,1.9
TAIWANIA,0.8,0.9
TALANTA,5.6,5
TALANTA OPEN,4.1,4.3
TALIA DIXIT-REVISTA INTERDISCIPLINAR DE RETORICA E HISTORIOGRAFIA,<0.1,0.1
TALLER DE LA HISTORIA,0.1,0.1
TALLER DE LETRAS,0.2,0.1
TALTECH JOURNAL OF EUROPEAN STUDIES,0.6,0.8
TAMKANG JOURNAL OF MATHEMATICS,0.7,0.6
TANG STUDIES,0.5,N/A
TANGENCE,<0.1,<0.1
TANZ,0.1,<0.1
TAPPI JOURNAL,0.6,0.6
TAPUYA-LATIN AMERICAN SCIENCE TECHNOLOGY AND SOCIETY,1,N/A
TARGETED ONCOLOGY,4.4,3.9
TARGET-INTERNATIONAL JOURNAL OF TRANSLATION STUDIES,1.9,1.9
TARIH INCELEMELERI DERGISI,0.1,0.1
TAXON,3,3
TBILISI MATHEMATICAL JOURNAL,0.7,0.5
TDR-THE DRAMA REVIEW-THE JOURNAL OF PERFORMANCE STUDIES,0.4,0.6
TD-THE JOURNAL FOR TRANSDISCIPLINARY RESEARCH IN SOUTHERN AFRICA,0.2,0.5
TEACHER DEVELOPMENT,0.8,1.2
TEACHER EDUCATION AND SPECIAL EDUCATION,1.9,2.6
TEACHERS AND TEACHING,1.9,3.6
TEACHERS COLLEGE RECORD,1.3,1.6
TEACHING and LEARNING INQUIRY-THE ISSOTL JOURNAL,1.7,1.5
TEACHING AND LEARNING IN MEDICINE,2.1,2.5
TEACHING AND LEARNING IN NURSING,1.9,1.9
TEACHING AND TEACHER EDUCATION,4,4.5
TEACHING ARTIST JOURNAL,<0.1,0.2
TEACHING EDUCATION,1.5,1.9
TEACHING EXCEPTIONAL CHILDREN,0.9,1.1
TEACHING IN HIGHER EDUCATION,2.4,3.1
TEACHING MATHEMATICS AND ITS APPLICATIONS,1.1,1.1
TEACHING OF MATHEMATICS,0.2,0.1
TEACHING OF PSYCHOLOGY,0.7,1
TEACHING PHILOSOPHY,0.6,0.6
TEACHING PUBLIC ADMINISTRATION,1.1,1.5
TEACHING SOCIOLOGY,1,1.4
TEACHING STATISTICS,1.2,0.8
TEACHING THEOLOGY AND RELIGION,0.3,0.4
TEAM PERFORMANCE MANAGEMENT,1.6,2.1
TEATRO E STORIA,<0.1,<0.1
TEC EMPRESARIAL,1.1,0.8
TECCIENCIA,0.7,0.5
TECHNE-JOURNAL OF TECHNOLOGY FOR ARCHITECTURE AND ENVIRONMENT,0.4,0.4
TECHNICAL COMMUNICATION,1.5,1.8
TECHNICAL COMMUNICATION QUARTERLY,2,1.9
TECHNICAL PHYSICS,1.1,0.6
TECHNICAL PHYSICS LETTERS,0.8,0.5
TECHNICAL SERVICES QUARTERLY,0.5,0.6
TECHNIQUES AND INNOVATIONS IN GASTROINTESTINAL ENDOSCOPY,1.2,1.2
TECHNIQUES IN COLOPROCTOLOGY,2.7,3.2
TECHNIQUES IN FOOT AND ANKLE SURGERY,0.1,0.2
TECHNIQUES IN ORTHOPAEDICS,0.2,0.4
TECHNIQUES IN VASCULAR AND INTERVENTIONAL RADIOLOGY,1.4,1.8
TECHNOETIC ARTS,<0.1,0.2
TECHNOLOGICAL AND ECONOMIC DEVELOPMENT OF ECONOMY,4.8,4
TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE,12.9,13
TECHNOLOGIES,4.2,3.2
TECHNOLOGY ANALYSIS and STRATEGIC MANAGEMENT,2.9,3.5
TECHNOLOGY AND CULTURE,0.8,1.2
TECHNOLOGY AND DISABILITY,0.7,N/A
TECHNOLOGY AND ECONOMICS OF SMART GRIDS AND SUSTAINABLE ENERGY,2,2.2
TECHNOLOGY AND HEALTH CARE,1.4,1.3
TECHNOLOGY AND INNOVATION,0.7,0.7
TECHNOLOGY IN CANCER RESEARCH and TREATMENT,2.7,2.8
TECHNOLOGY IN SOCIETY,10.1,9.6
TECHNOLOGY INNOVATION MANAGEMENT REVIEW,1.6,2.9
TECHNOLOGY KNOWLEDGE AND LEARNING,3,3.5
TECHNOLOGY PEDAGOGY AND EDUCATION,3.4,4
TECHNOLOGY-ARCHITECTURE + DESIGN,0.5,N/A
TECHNOMETRICS,2.3,2.9
TECHNOVATION,11.1,12.1
TECHTRENDS,2.2,2.8
TECNOLOGIA EN MARCHA,0.1,0.2
TECNOLOGIA Y CIENCIAS DEL AGUA,0.3,0.4
TECNOSCIENZA-ITALIAN JOURNAL OF SCIENCE and TECHNOLOGY STUDIES,0.5,0.5
TECTONICS,3.3,4.4
TECTONOPHYSICS,2.7,3.3
TEHNICKI GLASNIK-TECHNICAL JOURNAL,0.7,0.7
TEHNICKI VJESNIK-TECHNICAL GAZETTE,1,0.8
TEJUELO-DIDACTICA DE LA LENGUA Y LA LITERATURA,0.8,0.8
TEKA KOMISJI URBANISTYKI I ARCHITEKTURY,0.1,0.1
TEKNIK DERGI,0.8,0.8
TEKNOKULTURA: REVISTA DE CULTURA DIGITAL Y MOVIMIENTOS SOCIALES,0.8,0.8
TEKST KNIGA KNIGOIZDANIE-TEXT BOOK PUBLISHING,<0.1,<0.1
TEKSTIL VE KONFEKSIYON,0.6,0.7
TEKSTILEC,0.7,0.8
TEKSTY DRUGIE,0.1,0.1
TEL AVIV-JOURNAL OF THE INSTITUTE OF ARCHAEOLOGY OF TEL AVIV UNIVERSITY,1.3,1.6
TELECOM,2.1,2
TELECOMMUNICATION SYSTEMS,1.7,1.7
TELECOMMUNICATIONS POLICY,5.9,5.7
TELEMATICS AND INFORMATICS,7.6,8.2
TELEMATIQUE,0.4,0.1
TELEMEDICINE AND E-HEALTH,2.8,4
TELEMEDICINE REPORTS,1.5,1.6
TELEVISION and NEW MEDIA,2.4,3.4
TELLUS SERIES A-DYNAMIC METEOROLOGY AND OCEANOGRAPHY,1.7,1.9
TELLUS SERIES B-CHEMICAL AND PHYSICAL METEOROLOGY,2.3,2.2
TELOPEA,0.5,0.5
TELOS,0.1,0.2
TELOS-REVISTA DE ESTUDIOS INTERDISCIPLINARIOS EN CIENCIAS SOCIALES,0.5,0.5
TEM JOURNAL-TECHNOLOGY EDUCATION MANAGEMENT INFORMATICS,0.6,0.6
TEMA-JOURNAL OF LAND USE MOBILITY AND ENVIRONMENT,1,1.1
TEMAS AGRARIOS,<0.1,0.2
TEMAS AMERICANISTAS,0.1,0.2
TEMAS DE NUESTRA AMERICA-REVISTA DE ESTUDIOS LATINOAMERICANOS,<0.1,<0.1
TEMAS Y DEBATES,0.1,0.1
TEMENOS,0.2,0.3
TEMIDA,0.3,0.2
TEMPO,0.5,0.5
TEMPO E ARGUMENTO,0.1,0.1
TEMPO SOCIAL,0.4,0.6
TEMPO-NITEROI,0.2,0.2
TENSIDE SURFACTANTS DETERGENTS,1.2,1
TEOLITERARIA-REVISTA BRASILEIRA DE LITERATURAS E TEOLOGIAS,<0.1,<0.1
TEOLOGIA Y VIDA,0.3,0.2
TEOREMA,0.3,0.3
TEORIA DE LA EDUCACION,1.5,1.5
TEORIA E PRATICA EM ADMINISTRACAO-TPA,0.1,0.2
TEORIA Y REALIDAD CONSTITUCIONAL,0.8,0.6
TEORIA-RIVISTA DI FILOSOFIA,0.1,0.1
TEORIJA IN PRAKSA,0.2,0.2
TER ES TARSADALOM,0.6,0.5
TERAPEVTICHESKII ARKHIV,0.3,0.3
TERAPIA PSICOLOGICA,0.8,1
TERCIO CRECIENTE,<0.1,<0.1
TERMINOLOGY,0.9,0.9
TERRA ECONOMICUS,1.1,0.7
TERRA LATINOAMERICANA,0.3,N/A
TERRA NOVA,2.2,2.4
TERRAE INCOGNITAE-THE JOURNAL OF THE SOCIETY FOR THE HISTORY OF DISCOVERIES,0.5,0.4
TERRESTRIAL ATMOSPHERIC AND OCEANIC SCIENCES,0.8,1.1
TERRITOIRE EN MOUVEMENT,0.2,0.1
TERRITORIO SOCIEDAD Y PODER-REVISTA DE ESTUDIOS MEDIEVALES,0.1,0.1
TERRITORIOS,0.5,0.7
TERRITORY POLITICS GOVERNANCE,1.9,2.5
TERRORISM AND POLITICAL VIOLENCE,2.3,2.4
TERTIARY EDUCATION AND MANAGEMENT,1.4,1.8
TESL CANADA JOURNAL,0.5,0.9
TESOL JOURNAL,1.3,1.6
TESOL QUARTERLY,3,4.2
TEST,1.2,2.2
TETHYS-JOURNAL OF MEDITERRANEAN METEOROLOGY and CLIMATOLOGY,0.3,1.9
TETRAHEDRON,2.1,1.8
TETRAHEDRON LETTERS,1.5,1.6
TETSU TO HAGANE-JOURNAL OF THE IRON AND STEEL INSTITUTE OF JAPAN,0.3,0.4
TEXAS HEART INSTITUTE JOURNAL,0.8,1
TEXAS LAW REVIEW,2.2,1.7
TEXAS STUDIES IN LITERATURE AND LANGUAGE,<0.1,0.3
TEXT and KRITIK,<0.1,<0.1
TEXT and TALK,0.8,0.8
TEXT AND PERFORMANCE QUARTERLY,0.6,0.8
TEXT MATTERS-A JOURNAL OF LITERATURE THEORY AND CULTURE,0.2,0.2
TEXTILE HISTORY,0.5,0.5
TEXTILE PROGRESS,2.1,3.6
TEXTILE RESEARCH JOURNAL,1.6,2
TEXTILE-CLOTH AND CULTURE,0.2,0.3
TEXTO LIVRE-LINGUAGEM E TECNOLOGIA,0.8,0.6
TEXTUAL PRACTICE,0.5,0.4
TEXTUS,0.2,N/A
THAI JOURNAL OF MATHEMATICS,0.3,0.3
THAI JOURNAL OF VETERINARY MEDICINE,0.3,0.4
THAILAND STATISTICIAN,0.6,0.6
THALASSAS,0.7,0.8
THALASSEMIA REPORTS,0.6,0.5
THEATER,0.3,0.2
THEATER HEUTE,0.1,0.1
THEATRE DANCE AND PERFORMANCE TRAINING,0.4,0.4
THEATRE HISTORY STUDIES,0.1,0.2
THEATRE JOURNAL,0.8,1
THEATRE NOTEBOOK,0.4,0.4
THEATRE RESEARCH INTERNATIONAL,0.3,0.2
THEATRE SURVEY,0.3,0.4
THELEME-REVISTA COMPLUTENSE DE ESTUDIOS FRANCESES,<0.1,<0.1
THEMATA-REVISTA DE FILOSOFIA,0.1,0.1
THEOLOGICAL STUDIES,0.6,0.5
THEOLOGY,0.1,0.2
THEOLOGY and SEXUALITY,0.4,0.4
THEOLOGY AND SCIENCE,0.6,0.7
THEOLOGY TODAY,0.2,0.2
THEORETICAL AND APPLIED CLIMATOLOGY,2.8,3.1
THEORETICAL AND APPLIED ECOLOGY,0.5,0.5
THEORETICAL AND APPLIED FRACTURE MECHANICS,5,4.6
THEORETICAL AND APPLIED GENETICS,4.4,5
THEORETICAL AND APPLIED MECHANICS,0.7,0.7
THEORETICAL AND APPLIED MECHANICS LETTERS,3.2,2.6
THEORETICAL AND COMPUTATIONAL FLUID DYNAMICS,2.2,2.5
THEORETICAL AND EXPERIMENTAL CHEMISTRY,0.7,0.8
THEORETICAL AND EXPERIMENTAL PLANT PHYSIOLOGY,2.2,2.3
THEORETICAL AND MATHEMATICAL PHYSICS,1,0.8
THEORETICAL AND PRACTICAL ISSUES OF JOURNALISM,0.6,0.3
THEORETICAL BIOLOGY FORUM,0.8,0.6
THEORETICAL CHEMISTRY ACCOUNTS,1.6,1.7
THEORETICAL COMPUTER SCIENCE,0.9,0.9
THEORETICAL CRIMINOLOGY,1.9,2.7
THEORETICAL ECOLOGY,1.2,1.4
THEORETICAL ECONOMICS,1.2,1.4
THEORETICAL FOUNDATIONS OF CHEMICAL ENGINEERING,0.7,0.6
THEORETICAL ISSUES IN ERGONOMICS SCIENCE,1.4,2
THEORETICAL LINGUISTICS,0.6,1.7
THEORETICAL MEDICINE AND BIOETHICS,1.1,1.3
THEORETICAL POPULATION BIOLOGY,1.2,1.2
THEORIA,0.6,0.6
THEORIA-A SWEDISH JOURNAL OF PHILOSOPHY,0.3,0.4
THEORIA-REVISTA DE TEORIA HISTORIA Y FUNDAMENTOS DE LA CIENCIA,0.8,0.6
THEORY and PSYCHOLOGY,1.1,1.4
THEORY AND APPLICATIONS OF CATEGORIES,0.4,0.6
THEORY AND DECISION,0.9,1
THEORY AND PRACTICE OF LEGISLATION,1.5,1.9
THEORY AND PRACTICE OF LOGIC PROGRAMMING,1.4,1.5
THEORY AND RESEARCH IN EDUCATION,1.3,2.3
THEORY AND RESEARCH IN SOCIAL EDUCATION,2.5,4
THEORY AND SOCIETY,1.6,3
THEORY CULTURE and SOCIETY,2.7,3.3
THEORY IN BIOSCIENCES,1.3,1.3
THEORY INTO PRACTICE,2.5,3.6
THEORY OF COMPUTING,0.6,1
THEORY OF COMPUTING SYSTEMS,0.6,0.7
THEORY OF PROBABILITY AND ITS APPLICATIONS,0.5,0.5
THEORY OF PROBABILITY AND MATHEMATICAL STATISTICS,0.4,0.6
THERANOSTICS,12.4,12
THERAPEUTIC ADVANCES IN CARDIOVASCULAR DISEASE,2.6,3
THERAPEUTIC ADVANCES IN CHRONIC DISEASE,3.3,3.8
THERAPEUTIC ADVANCES IN DRUG SAFETY,3.4,4
THERAPEUTIC ADVANCES IN ENDOCRINOLOGY AND METABOLISM,3.9,4.1
THERAPEUTIC ADVANCES IN GASTROENTEROLOGY,3.9,4
THERAPEUTIC ADVANCES IN GASTROINTESTINAL ENDOSCOPY,3,2.4
THERAPEUTIC ADVANCES IN HEMATOLOGY,3.4,3.5
THERAPEUTIC ADVANCES IN INFECTIOUS DISEASE,3.8,3.6
THERAPEUTIC ADVANCES IN MEDICAL ONCOLOGY,4.3,4.9
THERAPEUTIC ADVANCES IN MUSCULOSKELETAL DISEASE,3.4,3.7
THERAPEUTIC ADVANCES IN NEUROLOGICAL DISORDERS,4.7,4.9
THERAPEUTIC ADVANCES IN OPHTHALMOLOGY,2.3,2.3
THERAPEUTIC ADVANCES IN PSYCHOPHARMACOLOGY,3.4,4.3
THERAPEUTIC ADVANCES IN REPRODUCTIVE HEALTH,3.1,3.1
THERAPEUTIC ADVANCES IN RESPIRATORY DISEASE,3.3,3.8
THERAPEUTIC ADVANCES IN UROLOGY,2.6,2.8
THERAPEUTIC APHERESIS AND DIALYSIS,1.5,1.6
THERAPEUTIC COMMUNITIES,<0.1,0.2
THERAPEUTIC DELIVERY,3,3.7
THERAPEUTIC DRUG MONITORING,2.8,3
THERAPEUTIC HYPOTHERMIA AND TEMPERATURE MANAGEMENT,0.8,1.2
THERAPEUTIC INNOVATION and REGULATORY SCIENCE,2,1.6
THERAPEUTIC RECREATION JOURNAL,0.7,1
THERAPEUTICS AND CLINICAL RISK MANAGEMENT,2.3,2.3
THERAPEUTISCHE UMSCHAU,0.2,0.2
THERAPIE,2.2,2.3
THERIOGENOLOGY,2.4,2.5
THERMAL ENGINEERING,0.9,N/A
THERMAL SCIENCE,1.1,1.1
THERMAL SCIENCE AND ENGINEERING PROGRESS,5.1,5
THERMOCHIMICA ACTA,3.1,3
THERMOPHYSICS AND AEROMECHANICS,0.5,0.5
THESIS ELEVEN,1,0.9
THIN SOLID FILMS,2,1.9
THINKING and REASONING,2.5,3.7
THINKING SKILLS AND CREATIVITY,3.5,4.1
THINK-PHILOSOPHY FOR EVERYONE,0.2,0.2
THIN-WALLED STRUCTURES,5.7,5.6
THIRD TEXT,0.3,0.5
THIRD WORLD QUARTERLY,1.9,2.6
THOMIST,0.2,0.2
THORACIC AND CARDIOVASCULAR SURGEON,1.3,1.4
THORACIC AND CARDIOVASCULAR SURGEON REPORTS,0.3,0.3
THORACIC CANCER,2.3,2.8
THORACIC SURGERY CLINICS,1.1,2
THORAX,9,8.4
THRESHOLDS,<0.1,0.1
THROMBOSIS AND HAEMOSTASIS,5,4.4
THROMBOSIS JOURNAL,2.6,3.1
THROMBOSIS RESEARCH,3.7,4.1
THUNDERBIRD INTERNATIONAL BUSINESS REVIEW,2.2,2.7
THYROID,5.8,7.2
THYROID RESEARCH,1.9,2.3
TICKS AND TICK-BORNE DISEASES,3.1,3.1
TIDSSKRIFT FOR DEN NORSKE LAEGEFORENING,1.2,1
TIDSSKRIFT FOR SAMFUNNSFORSKNING,0.5,0.4
TIEMPOS MODERNOS-REVISTA ELECTRONICA DE HISTORIA MODERNA,0.2,0.4
TIERAERZTLICHE PRAXIS AUSGABE GROSSTIERE NUTZTIERE,0.4,0.4
TIERAERZTLICHE PRAXIS AUSGABE KLEINTIERE HEIMTIERE,0.4,0.6
TIJDSCHRIFT VOOR COMMUNICATIEWETENSCHAP,0.3,0.3
TIJDSCHRIFT VOOR ECONOMISCHE EN SOCIALE GEOGRAFIE,2,3.5
TIJDSCHRIFT VOOR FILOSOFIE,<0.1,0.1
TIJDSCHRIFT VOOR GESCHIEDENIS,0.2,0.2
TIJDSCHRIFT VOOR NEDERLANDSE TAAL-EN LETTERKUNDE,0.3,0.1
TIJDSCHRIFT VOOR RECHTSGESCHIEDENIS-REVUE D HISTOIRE DU DROIT-THE LEGAL HISTORY REVIEW,0.3,0.3
TIMARIT UM UPPELDI OG MENNTUN-ICELANDIC JOURNAL OF EDUCATION,0.3,0.3
TIME and MIND-THE JOURNAL OF ARCHAEOLOGY CONSCIOUSNESS AND CULTURE,0.7,0.8
TIME and SOCIETY,2.2,2.2
TIMING and TIME PERCEPTION,1.4,N/A
TINTAS-QUADERNI DI LETTERATURE IBERICHE E IBEROAMERICANE,<0.1,<0.1
TIRANT,<0.1,0.1
TIRE SCIENCE AND TECHNOLOGY,0.9,1
TISSUE and CELL,2.7,2.5
TISSUE BARRIERS,3.6,4.4
TISSUE ENGINEERING AND REGENERATIVE MEDICINE,4.4,3.9
TISSUE ENGINEERING PART A,3.5,4.7
TISSUE ENGINEERING PART B-REVIEWS,5.1,8.9
TISSUE ENGINEERING PART C-METHODS,2.7,3.4
TIZARD LEARNING DISABILITY REVIEW,0.5,0.8
TM-TECHNISCHES MESSEN,0.8,0.6
TOBACCO CONTROL,4,4.1
TOBACCO INDUCED DISEASES,2.2,2.7
TOBACCO PREVENTION and CESSATION,1.9,1.6
TOBACCO USE INSIGHTS,2.1,1.9
TOCQUEVILLE REVIEW,0.1,0.1
TOHOKU JOURNAL OF EXPERIMENTAL MEDICINE,1.7,1.8
TOHOKU MATHEMATICAL JOURNAL,0.4,0.6
TOKYO JOURNAL OF MATHEMATICS,0.4,0.4
TOMOGRAPHY,2.2,2.3
TOMSK STATE UNIVERSITY JOURNAL,0.1,0.1
TOMSKII ZHURNAL LINGVISTICHESKIKH I ANTROPOLOGICHESKIKH ISSLEDOVANII-TOMSK JOURNAL OF LINGUISTICS AND ANTHROPOLOGY,0.2,0.1
TOP,1.5,1.4
TOPIA-CANADIAN JOURNAL OF CULTURAL STUDIES,0.4,0.7
TOPICOS-REVISTA DE FILOSOFIA,0.2,0.2
TOPICS IN CATALYSIS,2.8,2.8
TOPICS IN CLINICAL NUTRITION,0.4,0.5
TOPICS IN COGNITIVE SCIENCE,2.9,3.5
TOPICS IN COMPANION ANIMAL MEDICINE,1.3,1.3
TOPICS IN CURRENT CHEMISTRY,7.1,8.6
TOPICS IN EARLY CHILDHOOD SPECIAL EDUCATION,2,2.6
TOPICS IN GERIATRIC REHABILITATION,0.5,0.7
TOPICS IN LANGUAGE DISORDERS,1.8,1.7
TOPICS IN LINGUISTICS,0.2,0.6
TOPICS IN SPINAL CORD INJURY REHABILITATION,2.4,2.4
TOPICS IN STROKE REHABILITATION,2.2,2.9
TOPOI-AN INTERNATIONAL REVIEW OF PHILOSOPHY,1.3,1.4
TOPOI-REVISTA DE HISTORIA,0.2,0.2
TOPOLOGICAL METHODS IN NONLINEAR ANALYSIS,0.7,0.7
TOPOLOGY AND ITS APPLICATIONS,0.6,0.5
TORONTO JOURNAL OF THEOLOGY,0.1,0.2
TORRE DEL VIRREY-REVISTA DE ESTUDIOS CULTURALES,0.1,<0.1
TORRES DE LUCCA-REVISTA INTERNACIONAL DE FILOSOFIA POLITICA,0.4,0.2
TORT LAW REVIEW,<0.1,0.1
TOTAL QUALITY MANAGEMENT and BUSINESS EXCELLENCE,3.6,3.8
TOTALITARISMUS UND DEMOKRATIE,<0.1,0.1
TOUNG PAO,0.6,0.7
TOURISM,2,2
TOURISM and MANAGEMENT STUDIES,2.6,1.7
TOURISM ANALYSIS,1.4,1.9
TOURISM AND HOSPITALITY MANAGEMENT-CROATIA,1.2,1.7
TOURISM AND HOSPITALITY RESEARCH,3,3.2
TOURISM CULTURE and COMMUNICATION,0.5,0.7
TOURISM ECONOMICS,3.6,4.4
TOURISM GEOGRAPHIES,4.1,7.5
TOURISM MANAGEMENT,10.9,11.5
TOURISM MANAGEMENT PERSPECTIVES,7.3,8
TOURISM PLANNING and DEVELOPMENT,2.1,2.7
TOURISM RECREATION RESEARCH,3.4,4.1
TOURISM REVIEW,7.3,7.2
TOURISM REVIEW INTERNATIONAL,1,1.4
TOURIST STUDIES,3.3,3.1
TOWN AND REGIONAL PLANNING,0.6,0.8
TOWN PLANNING REVIEW,1.6,1.8
TOXICOLOGIC PATHOLOGY,1.4,1.9
TOXICOLOGICAL AND ENVIRONMENTAL CHEMISTRY,1.1,1.7
TOXICOLOGICAL RESEARCH,1.6,2.3
TOXICOLOGICAL SCIENCES,3.4,3.9
TOXICOLOGIE ANALYTIQUE ET CLINIQUE,1.8,1.2
TOXICOLOGY,4.8,4.4
TOXICOLOGY AND APPLIED PHARMACOLOGY,3.3,3.6
TOXICOLOGY AND ENVIRONMENTAL HEALTH SCIENCES,1.6,N/A
TOXICOLOGY AND INDUSTRIAL HEALTH,1.7,2
TOXICOLOGY COMMUNICATIONS,1.1,N/A
TOXICOLOGY IN VITRO,2.6,2.8
TOXICOLOGY LETTERS,2.9,3.2
TOXICOLOGY MECHANISMS AND METHODS,2.8,3.4
TOXICOLOGY RESEARCH,2.2,2.6
TOXICON,2.6,2.7
TOXICON-X,3.6,3.1
TOXICS,3.9,4.2
TOXIN REVIEWS,3.3,3.2
TOXINS,3.9,4.2
TPM-TESTING PSYCHOMETRICS METHODOLOGY IN APPLIED PSYCHOLOGY,0.7,1
TPM-THE PHILOSOPHERS MAGAZINE,0.2,0.2
TQM JOURNAL,3.8,N/A
TRABAJO SOCIAL,0.2,0.2
TRABAJO SOCIAL GLOBAL-GLOBAL SOCIAL WORK,0.2,0.2
TRABAJOS DE PREHISTORIA,1.3,1.2
TRABAJOS Y COMUNICACIONES,0.2,0.1
TRACE ELEMENTS AND ELECTROLYTES,0.1,0.2
TRAC-TRENDS IN ANALYTICAL CHEMISTRY,11.8,12.7
TRADITION and DISCOVERY,0.1,0.2
TRADITION-A JOURNAL OF ORTHODOX JEWISH THOUGHT,0.1,N/A
TRADITIONAL and KAMPO MEDICINE,0.7,N/A
TRADITIONAL MEDICINE RESEARCH,0.9,0.8
TRADITIO-STUDIES IN ANCIENT AND MEDIEVAL HISTORY THOUGHT AND RELIGION,0.4,0.5
TRADUMATICA-TRADUCCIO I TECNOLOGIES DE LA INFORMACIO I LA COMUNICACIO,0.8,0.8
TRAFFIC,3.6,5.3
TRAFFIC INJURY PREVENTION,1.6,2.3
TRAINING AND EDUCATION IN PROFESSIONAL PSYCHOLOGY,1.8,1.8
TRAITEMENT AUTOMATIQUE DES LANGUES,<0.1,0.1
TRAITEMENT DU SIGNAL,1.2,1.2
TRAKYA UNIVERSITY JOURNAL OF NATURAL SCIENCES,0.5,0.7
TRAMES-JOURNAL OF THE HUMANITIES AND SOCIAL SCIENCES,0.5,0.5
TRANSACTIONS IN GIS,2.1,2.4
TRANSACTIONS OF A RAZMADZE MATHEMATICAL INSTITUTE,0.3,0.4
TRANSACTIONS OF FAMENA,1.4,1.1
TRANSACTIONS OF NONFERROUS METALS SOCIETY OF CHINA,4.7,4.2
TRANSACTIONS OF THE AMERICAN ENTOMOLOGICAL SOCIETY,0.4,0.5
TRANSACTIONS OF THE AMERICAN FISHERIES SOCIETY,2,2
TRANSACTIONS OF THE AMERICAN MATHEMATICAL SOCIETY,1.2,1.3
TRANSACTIONS OF THE AMERICAN PHILOLOGICAL ASSOCIATION,0.7,0.7
TRANSACTIONS OF THE ANCIENT MONUMENTS SOCIETY,<0.1,<0.1
TRANSACTIONS OF THE ASABE,1.4,1.5
TRANSACTIONS OF THE ASSOCIATION FOR COMPUTATIONAL LINGUISTICS,4.2,N/A
TRANSACTIONS OF THE CANADIAN SOCIETY FOR MECHANICAL ENGINEERING,0.8,0.9
TRANSACTIONS OF THE CHARLES S PEIRCE SOCIETY,0.2,0.3
TRANSACTIONS OF THE INDIAN CERAMIC SOCIETY,1.5,1.5
